label,url,data_type,note
선거일 및 일정 기준,https://news.seoul.go.kr/gov/archives/577805,public_online_reaction_demo_seed,이 수치는 실제 지지율·득표율·선거 결과 예측이 아니라 공개 온라인 반응 데모용 수치입니다.
정원오 X/SNS 단서,https://ichannela.com/news/detail/000000520308.do,public_online_reaction_demo_seed,이 수치는 실제 지지율·득표율·선거 결과 예측이 아니라 공개 온라인 반응 데모용 수치입니다.
정원오 교통 공약,https://www.yna.co.kr/view/AKR20260507082200001,public_online_reaction_demo_seed,이 수치는 실제 지지율·득표율·선거 결과 예측이 아니라 공개 온라인 반응 데모용 수치입니다.
오세훈 주거·재개발 공약,https://www.mt.co.kr/politics/2026/05/07/2026050714463843034,public_online_reaction_demo_seed,이 수치는 실제 지지율·득표율·선거 결과 예측이 아니라 공개 온라인 반응 데모용 수치입니다.
오세훈 교통 공약,https://realty.chosun.com/site/data/html_dir/2026/05/12/2026051201614.html,public_online_reaction_demo_seed,이 수치는 실제 지지율·득표율·선거 결과 예측이 아니라 공개 온라인 반응 데모용 수치입니다.
정원오 공간대전환·지하화 공약,https://www.mk.co.kr/news/politics/12045066,public_online_reaction_demo_seed,이 수치는 실제 지지율·득표율·선거 결과 예측이 아니라 공개 온라인 반응 데모용 수치입니다.
한강·광화문 공간 이슈,https://www.hankyung.com/article/202601213000i,public_online_reaction_demo_seed,이 수치는 실제 지지율·득표율·선거 결과 예측이 아니라 공개 온라인 반응 데모용 수치입니다.
청년정책 정책 단서,https://youth.seoul.go.kr/infoData/plcyInfo/view.do?key=2309150002&plcyBizId=V202600005&sprtInfoId=,public_online_reaction_demo_seed,이 수치는 실제 지지율·득표율·선거 결과 예측이 아니라 공개 온라인 반응 데모용 수치입니다.
